No NAME  	GMS  	PTS  	REB   	AST  	TO  	A/T  	STL  	BLK  	PF  	FG  	FT  	3P
31. Gonzaga	2	71.5	42	13.5	11.5	1.17	3.5	3	15.5	0.463	0.6	0.241
32. Nevada	2	60	40.5	10.5	11	0.95	7	4	15.5	0.371	0.651	0.261
33. Oakland	2	73.5	32.5	13	13.5	0.96	5.5	1	15	0.47	0.684	0.433
34. Stanford	1	70	30	9	5	1.8	6	3	19	0.381	0.72	0.222
35. UCLA	1	66	27	16	13	1.23	5	2	15	0.433	0.533	0.3
36. GeorgeWashington	1	68	34	19	14	1.36	9	4	20	0.446	0.25	0.375
37. LSU	1	68	42	10	21	0.48	6	5	26	0.359	0.727	0.194
38. Minnesota	1	53	41	8	17	0.47	9	1	18	0.333	0.6	0.217
39. Montana	1	77	33	15	18	0.83	5	0	16	0.508	0.25	0.45
40. Creighton	1	61	27	12	17	0.71	8	3	16	0.42	0.846	0.4
41. FairleighDickinson	1	55	42	11	17	0.65	6	3	19	0.404	0.455	0.25
42. NewMexico	1	47	35	6	17	0.35	9	4	20	0.298	0.75	0.16
43. Syracuse	1	57	37	8	24	0.33	9	3	12	0.418	0.889	0.25
44. Ohio	1	62	33	8	20	0.4	8	5	21	0.391	0.654	0.5
45. Pennsylvania	1	65	34	17	17	1	11	2	19	0.352	0.5	0.333
46. Pittsburgh	1	71	30	10	10	1	7	3	20	0.424	0.722	0.348
47. Chattanooga	1	54	35	12	22	0.55	5	1	19	0.404	0.667	0.3
48. Texas	1	57	40	2	5	0.4	5	6	16	0.353	0.667	0.5
49. OldDominion	1	81	30	13	15	0.87	9	1	29	0.426	0.846	0.35
50. Louisiana-Lafayette	1	62	37	14	18	0.78	7	0	21	0.453	0.556	0.333
51. Niagara	1	67	37	12	16	0.75	8	2	16	0.353	0.867	0.214
52. UtahState	1	53	32	15	12	1.25	6	3	16	0.364	0.6	0.368
53. Alabama	1	73	34	17	19	0.89	3	3	20	0.52	0.75	0.391
54. UCF	1	71	29	16	10	1.6	10	6	21	0.344	0.857	0.393
55. DelawareState	1	46	30	10	11	0.91	3	1	23	0.365	0.5	0.333
56. EasternKentucky	1	64	35	14	17	0.82	5	1	20	0.441	0.545	0.333
57. Iowa	1	64	43	5	11	0.45	6	1	20	0.339	0.76	0.294
58. Kansas	1	63	34	14	13	1.08	5	3	15	0.435	0.815	0.091
59. Charlotte	1	63	36	11	20	0.55	8	2	18	0.397	0.643	0.381
60. NorthernIowa	1	52	35	8	8	1	4	2	15	0.415	0.5	0.235
61. SoutheasternLouisiana	1	50	19	10	17	0.59	12	2	22	0.444	0.7	0.3
62. SaintMary's	1	56	42	3	20	0.15	2	2	17	0.333	0.818	0.2
63. UTEP	1	54	22	13	10	1.3	6	1	20	0.415	0.889	0.222
64. Winthrop	1	64	36	16	13	1.23	4	0	19	0.367	0.833	0.385
